air_store_id,Model_No.,Selected_Model,Training_R2,Testing_R2,RMSLE
air_a546cbf478a8b6e4,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.269080801,0.310546537,0.46004844
air_b2a639cc7e02edf1,model_5,"Regression with ARIMA(0,1,2)(1,0,2)[7] errors",0.629082388,0.738609587,0.460910425
air_87078cf7903a648c,model_5,"Regression with ARIMA(0,0,0) errors",0.564429904,0.594116106,0.461441819
air_bc991c51d6613745,model_5,"Regression with ARIMA(0,1,1) errors",0.695069176,0.876894082,0.464424472
air_735bcbe1763d6e98,model_5,"Regression with ARIMA(1,1,2) errors",0.647486629,0.765885387,0.464590382
air_edd5e3d696a5811b,model_5,"Regression with ARIMA(3,1,1)(1,0,0)[7] errors",0.881453379,0.899073783,0.465011608
air_35c4732dcbfe31be,model_5,"Regression with ARIMA(0,1,1) errors",0.510901057,0.652124388,0.465145065
air_234d3dbf7f3d5a50,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.630807025,0.464480732,0.465713951
air_74cf22153214064c,model_2,"STL +  ETS(A,N,N)",NA for STL,0.827796273,0.465865873
air_33b01025210d6007,model_5,"Regression with ARIMA(0,0,0) errors",0.677859554,0.779597365,0.466140543
air_ee3ba9af184c6c82,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.821988975,0.898744553,0.466707692
air_09040f6df960ddb8,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.851290656,0.862691477,0.466718408
air_ffcc2d5087e1b476,model_5,"Regression with ARIMA(0,0,0) errors",0.84773353,0.816554076,0.467017028
air_e700e390226d9985,model_5,"Regression with ARIMA(1,1,1)(1,0,0)[7] errors",0.863907464,0.802047383,0.467018754
air_c6a164dd4060e960,model_5,"Regression with ARIMA(0,1,1) errors",0.811637865,0.843046037,0.467026198
air_f068442ebb6c246c,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.77030051,0.762957108,0.467777852
air_61de73b097513f58,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.574481979,0.646204529,0.468365518
air_17bed6dbf7c8b0fc,model_5,"Regression with ARIMA(0,1,1) errors",0.931853245,0.903073118,0.468461012
air_2c505f9ad67d4635,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.709989903,0.562246084,0.468616744
air_81a12d67c22e012f,model_5,"Regression with ARIMA(0,0,0) errors",0.845677222,0.82155353,0.468747978
air_049f6d5b402a31b2,model_5,"Regression with ARIMA(0,0,0) errors",0.75530897,0.779445273,0.4691326
air_326ca454ef3558bc,model_5,"Regression with ARIMA(0,1,1)(1,0,0)[7] errors",0.825324395,0.611525809,0.469315411
air_f3602e4fa2f12993,model_5,"Regression with ARIMA(0,0,0) errors",0.772308643,0.854334238,0.469533092
air_99c3eae84130c1cb,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.909162111,0.889930357,0.469755911
air_28dbe91c4c9656be,model_3,l_train ~ log_reserves + mon_thurs + friday + saturday,0.503238164,0.588593689,0.469802074
air_04cae7c1bc9b2a0b,model_5,"Regression with ARIMA(0,0,0) errors",0.592141392,0.627554731,0.470108646
air_42d41eb58cad170e,model_5,"Regression with ARIMA(0,1,1) errors",0.634039444,0.791162273,0.470130174
air_79afb3f52b4d062c,model_2,"STL +  ETS(M,N,N)",NA for STL,0.373586867,0.471203188
air_0b184ec04c741a6a,model_5,"Regression with ARIMA(0,1,1)(2,0,0)[7] errors",0.822797166,0.779235885,0.471387887
air_084d98859256acf0,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.85739052,0.837611538,0.471756205
air_db4b38ebe7a7ceff,model_5,"Regression with ARIMA(0,1,1)(0,0,2)[7] errors",0.595072077,0.69325285,0.47238363
air_cc35590cd1da8554,model_5,"Regression with ARIMA(0,0,0)(1,0,0)[7] errors",0.905206139,0.833460545,0.47269948
air_4433ab8e9999915f,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.894981049,0.196117886,0.473079252
air_63a750d8b4b6a976,model_5,"Regression with ARIMA(0,1,1) errors",0.854741829,0.83923662,0.473386314
air_b8d9e1624baaadc2,model_5,"Regression with ARIMA(0,0,0) errors",0.694550515,0.696540426,0.473923605
air_1e23210b584540e7,model_5,"Regression with ARIMA(0,1,1)(2,0,1)[7] errors",0.578372729,0.024618393,0.474453713
air_b439391e72899756,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.596579117,0.669678272,0.475136856
air_4481a87c1d7c9896,model_5,"Regression with ARIMA(0,1,1) errors",0.599590502,0.356748389,0.475767157
air_df5cf5cd03eb68d0,model_5,"Regression with ARIMA(0,0,0) errors",0.75829148,0.758897578,0.475816288
